id,village_lgd_code,village_name,block_id,,,,,,,,,,,,,,
1,271236,Aibawk,1,,,,,,,,,,,,,,
2,271248,Chamring,1,,,,,,,,,,,,,,
3,271250,Chawilung,1,,,,,,,,,,,,,,
4,271233,Falkawn,1,,,,,,,,,,,,,,
5,271244,Hmuifang,1,,,,,,,,,,,,,,
6,271229,Hualngohmun,1,,,,,,,,,,,,,,
7,271232,Kelsih,1,,,,,,,,,,,,,,
8,271249,Lamchhip,1,,,,,,,,,,,,,,
9,271246,Lungsei,1,,,,,,,,,,,,,,
10,931573,Maubuang,1,,,,,,,,,,,,,,
11,271231,Melriat,1,,,,,,,,,,,,,,
12,271234,Muallungthu,1,,,,,,,,,,,,,,
13,271238,Phulpui,1,,,,,,,,,,,,,,
14,271253,Sailam,1,,,,,,,,,,,,,,
15,271247,Samlukhai,1,,,,,,,,,,,,,,
16,271237,Sateek,1,,,,,,,,,,,,,,
17,271251,Sialsuk,1,,,,,,,,,,,,,,
18,271243,Sumsuih,1,,,,,,,,,,,,,,
19,271235,Tachhip,1,,,,,,,,,,,,,,
20,271242,Thiak,1,,,,,,,,,,,,,,
21,271207,Chhanchhuahna Khawpui,2,,,,,,,,,,,,,,
22,933800,Darlawn Chhim Veng,2,,,,,,,,,,,,,,
23,933802,Darlawn Venghlun,2,,,,,,,,,,,,,,
24,933803,Darlawn Vengpui,2,,,,,,,,,,,,,,
25,271197,East Damdiai,2,,,,,,,,,,,,,,
26,271209,East Phaileng,2,,,,,,,,,,,,,,
27,271215,Hmunnghak,2,,,,,,,,,,,,,,
28,271208,Kepran,2,,,,,,,,,,,,,,
29,271194,Khawpuar,2,,,,,,,,,,,,,,
30,271213,Khawruhlian,2,,,,,,,,,,,,,,
31,271200,Lungsum,2,,,,,,,,,,,,,,
32,931574,Mauchar,2,,,,,,,,,,,,,,
33,271199,New Vervek,2,,,,,,,,,,,,,,
34,271192,North Khawdungsei,2,,,,,,,,,,,,,,
35,271205,North Serzawl,2,,,,,,,,,,,,,,
36,271187,North Tinghmun,2,,,,,,,,,,,,,,
37,271189,Palsang,2,,,,,,,,,,,,,,
38,271210,Pehlawn,2,,,,,,,,,,,,,,
39,271201,Ratu,2,,,,,,,,,,,,,,
40,271203,Sailutar,2,,,,,,,,,,,,,,
41,931575,Sakawrdai,2,,,,,,,,,,,,,,
42,271206,Sawleng,2,,,,,,,,,,,,,,
43,271202,Sunhluchhip,2,,,,,,,,,,,,,,
44,271198,Thingsat,2,,,,,,,,,,,,,,
45,271190,Upper Sakawrdai,2,,,,,,,,,,,,,,
46,271193,Vaitin,2,,,,,,,,,,,,,,
47,271188,Zohmun,2,,,,,,,,,,,,,,
48,271185,Zokhawthiang,2,,,,,,,,,,,,,,
49,271282,Darlawng,3,,,,,,,,,,,,,,
50,271284,Phulmawi,3,,,,,,,,,,,,,,
51,271272,Seling,3,,,,,,,,,,,,,,
52,271267,Sesawng I,3,,,,,,,,,,,,,,
53,939595,Sesawng II,3,,,,,,,,,,,,,,
54,939596,Sesawng III,3,,,,,,,,,,,,,,
55,271277,Thingsulthliah - I,3,,,,,,,,,,,,,,
56,937848,Thingsulthliah - II,3,,,,,,,,,,,,,,
57,271276,Thingsul Tlangnuam,3,,,,,,,,,,,,,,
58,271283,Tlungvel,3,,,,,,,,,,,,,,
59,935365,Lengpui,4,,,,,,,,,,,,,,
60,271263,Lungleng I,4,,,,,,,,,,,,,,
61,271259,Muthi,4,,,,,,,,,,,,,,
62,271258,Nausel,4,,,,,,,,,,,,,,
63,271264,North Lungleng,4,,,,,,,,,,,,,,
64,935366,Sairang,4,,,,,,,,,,,,,,
65,271182,Sairang Dinthar,4,,,,,,,,,,,,,,
66,935367,Sairang Sihhmui,4,,,,,,,,,,,,,,
67,271265,Samtlang,4,,,,,,,,,,,,,,
68,271256,Sihphir,4,,,,,,,,,,,,,,
69,931577,Sihphir Venghlun,4,,,,,,,,,,,,,,
70,271261,Tuirial,4,,,,,,,,,,,,,,
71,931578,Tuirial Airfield,4,,,,,,,,,,,,,,
72,935467,Bethel,10,,,,,,,,,,,,,,
73,937844,Champhai Jail Veng,10,,,,,,,,,,,,,,
74,935482,Champhai Vengthar,10,,,,,,,,,,,,,,
75,935468,Chhungte,10,,,,,,,,,,,,,,
76,271337,Dilkawn,10,,,,,,,,,,,,,,
77,935469,Dinthar,10,,,,,,,,,,,,,,
78,935470,Electric Veng,10,,,,,,,,,,,,,,
79,935471,Hmunhmeltha,10,,,,,,,,,,,,,,
80,271344,Hnahlan,10,,,,,,,,,,,,,,
81,935472,Kahrawt,10,,,,,,,,,,,,,,
82,935473,Kanan,10,,,,,,,,,,,,,,
83,271328,Kelkang,10,,,,,,,,,,,,,,
84,271343,Khuangphah,10,,,,,,,,,,,,,,
85,271342,Lungphunlian,10,,,,,,,,,,,,,,
86,271327,Melbuk,10,,,,,,,,,,,,,,
87,271326,Mualkawi,10,,,,,,,,,,,,,,
88,271340,Murlen,10,,,,,,,,,,,,,,
89,271345,N. Diltlang,10,,,,,,,,,,,,,,
